"","School","W","L","RPI","SOS Rank","SOS","url.name","ngames","LRMC.score"
"10","Florida",9,9,"0.6369","21","0.5758","florida",33,0.00582643996163201
"8","Indiana",10,8,"0.6377","10","0.5859","indiana",33,0.00577468235740876
"4","Louisville",12,7,"0.6610","6","0.5941","louisville",33,0.00564987671142057
"6","Kansas",12,7,"0.6477","19","0.5782","kansas",34,0.00538218677558213
"7","Gonzaga",13,5,"0.6439","74","0.5472","gonzaga",32,0.00530686141825297
"15","Syracuse",9,11,"0.6275","7","0.5929","syracuse",35,0.00515608817018723
"2","Duke",10,7,"0.6724","1","0.6068","duke",32,0.00510416261970935
"32","Wisconsin",6,2,"0.6036","12","0.5849","wisconsin",34,0.00502262388735372
"1410","Iowa",4,3,"0.5525","103","0.5313","iowa",38,0.00490758501794789
"22","Michigan",8,9,"0.6176","46","0.5594","michigan",32,0.00486792252770724
"11","Ohio State",9,9,"0.6364","11","0.5857","ohio-state",32,0.00485916580928983
"26","Creighton",10,9,"0.6091","82","0.5442","creighton",34,0.00484338423994672
"310","Baylor",23,13,"0.5584","26","0.5717","baylor",36,0.00477832142163248
"46","Pittsburgh",7,10,"0.5904","71","0.5491","pittsburgh",32,0.00476638979347484
"5","Miami (Fla.)",10,8,"0.6542","5","0.5956","miami-fl",33,0.00474163676118622
"25","Virginia Commonwealth",9,10,"0.6099","41","0.5621","virginia-commonwealth",34,0.00473629449133113
"9","Michigan State",7,10,"0.6369","3","0.5966","michigan-state",32,0.00468923409965949
"410","Maryland",5,3,"0.5576","92","0.5376","maryland",38,0.00454515987435701
"38","Missouri",6,1,"0.5980","48","0.5592","missouri",33,0.00448401898868513
"3","New Mexico",12,7,"0.6708","2","0.6032","new-mexico",34,0.00447622458750508
"17","Saint Louis",10,8,"0.6223","38","0.5626","saint-louis",33,0.00444231872491851
"39","Wichita State",9,10,"0.5960","91","0.5379","wichita-state",34,0.00441746188691164
"34","North Carolina State",7,1,"0.6023","33","0.5657","north-carolina-state",34,0.00441279399222208
"16","Arizona",8,9,"0.6247","25","0.5724","arizona",32,0.00440475321070471
"12","Georgetown",8,8,"0.6350","16","0.5795","georgetown",31,0.00439836562325869
"49","Ole Miss",9,10,"0.5898","120","0.5235","mississippi",34,0.0043940040909769
"37","Notre Dame",8,11,"0.5981","49","0.5583","notre-dame",34,0.00438234067933527
"28","Oklahoma State",7,10,"0.6085","38","0.5626","oklahoma-state",32,0.00436504477618857
"910","Virginia",4,2,"0.5549","117","0.5244","virginia",35,0.0043556917795295
"35","Minnesota",3,3,"0.6001","4","0.5958","minnesota",32,0.00434295283503135
"13","Memphis",13,6,"0.6283","73","0.5477","memphis",34,0.00429732963993196
"21","Kansas State",9,9,"0.6177","38","0.5626","kansas-state",32,0.00426717377492234
"30","St. Mary's",9,8,"0.6048","96","0.5369","saint-marys-ca",32,0.00426067639228711
"47","Iowa State",5,2,"0.5903","43","0.5613","iowa-state",32,0.00425857467960538
"23","UNLV",7,11,"0.6151","16","0.5795","unlv",33,0.0042503410515899
"52","Cincinnati",5,2,"0.5852","27","0.5716","cincinnati",33,0.00423591310282254
"18","North Carolina",6,1,"0.6185","8","0.5907","north-carolina",33,0.00423482312586865
"29","Middle Tennessee",11,7,"0.6051","129","0.5159","middle-tennessee",33,0.00420123578710856
"27","UCLA",8,11,"0.6088","20","0.5771","ucla",34,0.00418991992579932
"65","Brigham Young",3,2,"0.5613","94","0.5374","brigham-young",35,0.00418988571933563
"50","Oregon",9,10,"0.5898","101","0.5329","oregon",34,0.00415404899384327
"19","Colorado State",6,10,"0.6182","35","0.5644","colorado-state",31,0.00414429389199969
"59","Kentucky",4,2,"0.5735","70","0.5503","kentucky",33,0.00413713561599305
"42","Illinois",4,3,"0.5939","9","0.5873","illinois",33,0.00413216128588949
"1010","Stanford",1,13,"0.5546","42","0.5614","stanford",34,0.00405034567653599
"31","Southern Miss",6,11,"0.6039","74","0.5472","southern-mississippi",35,0.00398955745252893
"62","Alabama",3,3,"0.5655","76","0.5469","alabama",35,0.00398846015116448
"14","Marquette",6,10,"0.6282","14","0.5815","marquette",31,0.00398614803816682
"24","Butler",8,10,"0.6140","32","0.5658","butler",33,0.00394673099009223
"40","Colorado",4,2,"0.5953","24","0.5739","colorado",32,0.00394548291528301
"331","Santa Clara",2,2,"0.5391","128","0.5165","santa-clara",36,0.00391633099321916
"1610","Northern Iowa",23,13,"0.5511","46","0.5594","northern-iowa",35,0.00390431634094724
"41","Oklahoma",3,2,"0.5946","23","0.5740","oklahoma",31,0.0038888867232461
"33","San Diego State",3,1,"0.6029","15","0.5798","san-diego-state",30,0.0038817506459928
"2210","Arizona State",4,3,"0.5463","108","0.5293","arizona-state",35,0.00387221444942333
"1810","Weber State",7,8,"0.5493","292","0.4522","weber-state",35,0.00387213707246074
"2310","Providence",23,13,"0.5461","57","0.5553","providence",34,0.00384791868504675
"511","Illinois State",1,14,"0.5267","113","0.5254","illinois-state",33,0.00382403797637256
"54","Villanova",2,4,"0.5783","22","0.5743","villanova",32,0.00376284988128493
"20","Belmont",7,8,"0.6181","87","0.5413","belmont",30,0.00375262042544116
"67","Denver",4,11,"0.5602","134","0.5071","denver",32,0.0037243282571882
"61","Tennessee",3,3,"0.5688","58","0.5544","tennessee",33,0.00372382037492671
"69","Ohio",7,11,"0.5590","146","0.5007","ohio",34,0.00372183740939227
"691","Purdue",21,16,"0.5187","69","0.5504","purdue",34,0.00371606082999887
"53","Bucknell",10,7,"0.5817","192","0.4844","bucknell",32,0.00370055471252533
"45","Akron",8,8,"0.5906","131","0.5134","akron",31,0.00367017312633243
"44","Temple",6,11,"0.5912","62","0.5531","temple",32,0.00365735084348666
"391","Evansville",23,13,"0.5350","102","0.5317","evansville",35,0.00365710900329417
"96","George Mason",1,13,"0.5079","170","0.4921","george-mason",38,0.00364542485574085
"2110","Washington",1,14,"0.5465","44","0.5610","washington",34,0.00362845760120922
"283","Arkansas",2,4,"0.5439","88","0.5403","arkansas",32,0.00361962615047472
"55","California",3,2,"0.5775","37","0.5631","california",31,0.00360632618437819
"63","Davidson",8,9,"0.5653","190","0.4849","davidson",32,0.0036007362216626
"60","Valparaiso",8,9,"0.5730","152","0.4977","valparaiso",32,0.00359784488841084
"1310","Stony Brook",6,9,"0.5527","257","0.4614","stony-brook",32,0.00359705308682642
"51","Connecticut",3,1,"0.5872","29","0.5694","connecticut",30,0.00359481753139679
"2410","Richmond",1,13,"0.5449","84","0.5433","richmond",34,0.0035558771477072
"56","Louisiana Tech",8,8,"0.5775","191","0.4846","louisiana-tech",33,0.00355288876366325
"43","Boise State",2,1,"0.5933","53","0.5563","boise-state",29,0.00352608790344019
"48","La Salle",4,11,"0.5900","77","0.5468","la-salle",30,0.00349379137876194
"501","Texas",22,15,"0.5283","64","0.5529","texas",33,0.00348583418784755
"57","New Mexico State",6,1,"0.5768","116","0.5246","new-mexico-state",33,0.00348134432660817
"301","Iona",3,4,"0.5407","136","0.5069","iona",33,0.0034777866997385
"471","Dayton",23,13,"0.5287","95","0.5370","dayton",31,0.00347369404698893
"1510","Saint Joseph's",1,4,"0.5513","89","0.5395","saint-josephs",32,0.00346523667492136
"66","Detroit",1,3,"0.5605","99","0.5338","detroit-mercy",31,0.00345751718188965
"341","Texas A&M",1,14,"0.5389","62","0.5531","texas-am",33,0.00342611568642103
"2710","St. John's",22,14,"0.5442","34","0.5650","st-johns-ny",33,0.00341171560566033
