"","x"
"1","Miami (Fla.)"
"2","miami-fl"
"3","St. Mary's"
"4","saint-marys-ca"
"5","Southern Miss"
"6","southern-mississippi"
"7","Ole Miss"
"8","mississippi"
"9","Stephen F. Austin"
"10","stephen-f-austin"
"11","Detroit"
"12","detroit-mercy"
"13","Saint Joseph's"
"14","saint-josephs"
"15","Mount St. Mary's"
"16","mount-st-marys"
"17","St. John's"
"18","st-johns-ny"
"19","Loyola-Maryland"
"20","loyola-md"
"21","St. Bonaventure"
"22","st-bonaventure"
"23","Albany"
"24","albany-ny"
"25","Bryant University"
"26","bryant"
"27","LIU-Brooklyn"
"28","long-island-university"
"29","St. Francis (N.Y.)"
"30","st-francis-ny"
"31","NC-Asheville"
"32","north-carolina-asheville"
"33","Loyola-Chicago"
"34","loyola-il"
"35","Northridge"
"36","cal-state-northridge"
"37","Santa Barbara"
"38","california-santa-barbara"
"39","Bowling Green"
"40","bowling-green-state"
"41","William & Mary"
"42","william-mary"
"43","Miami (Ohio)"
"44","miami-oh"
"45","E. Tennessee State"
"46","east-tennessee-state"
"47","Texas State-San Marcos"
"48","texas-state"
"49","St. Peter's"
"50","saint-peters"
"51","New Jersey Tech"
"52","njit"
"53","NC-Wilmington"
"54","north-carolina-wilmington"
"55","SIU-Edwardsville"
"56","southern-illinois-edwardsville"
"57","Wisconsin-Milwaukee"
"58","milwaukee"
"59","St. Francis (Pa.)"
"60","saint-francis-pa"
"61","Prairie View A&M"
"62","prairie-view"
"63","NC-Greensboro"
"64","north-carolina-greensboro"
"65","The Citadel"
"66","citadel"
